ID,target
15000,0
15001,0
15002,0
15003,1
15004,0
15005,1
15006,0
15007,0
15008,0
15009,0
15010,0
15011,0
15012,0
15013,0
15014,0
15015,0
15016,0
15017,0
15018,0
15019,0
15020,0
15021,0
15022,0
15023,1
15024,0
15025,0
15026,0
15027,0
15028,0
15029,0
15030,0
15031,1
15032,0
15033,1
15034,0
15035,1
15036,0
15037,0
15038,0
15039,0
15040,0
15041,0
15042,0
15043,1
15044,0
15045,0
15046,0
15047,0
15048,0
15049,0
15050,0
15051,1
15052,0
15053,0
15054,0
15055,1
15056,0
15057,0
15058,0
15059,0
15060,0
15061,0
15062,0
15063,0
15064,1
15065,0
15066,0
15067,0
15068,0
15069,0
15070,0
15071,0
15072,0
15073,0
15074,0
15075,1
15076,0
15077,1
15078,1
15079,1
15080,1
15081,0
15082,0
15083,0
15084,0
15085,1
15086,0
15087,1
15088,0
15089,0
15090,0
15091,0
15092,1
15093,0
15094,0
15095,0
15096,1
15097,1
15098,0
15099,0
15100,1
15101,1
15102,0
15103,0
15104,0
15105,0
15106,0
15107,0
15108,0
15109,0
15110,1
15111,0
15112,0
15113,1
15114,1
15115,1
15116,0
15117,0
15118,0
15119,0
15120,0
15121,0
15122,0
15123,0
15124,0
15125,1
15126,1
15127,1
15128,1
15129,0
15130,0
15131,0
15132,0
15133,1
15134,0
15135,0
15136,0
15137,0
15138,0
15139,1
15140,0
15141,1
15142,0
15143,0
15144,1
15145,0
15146,1
15147,0
15148,0
15149,0
15150,0
15151,0
15152,1
15153,0
15154,0
15155,0
15156,0
15157,0
15158,0
15159,0
15160,0
15161,0
15162,0
15163,0
15164,0
15165,1
15166,0
15167,0
15168,0
15169,0
15170,0
15171,0
15172,0
15173,0
15174,0
15175,0
15176,0
15177,0
15178,0
15179,0
15180,0
15181,1
15182,1
15183,0
15184,1
15185,0
15186,0
15187,1
15188,0
15189,0
15190,0
15191,0
15192,0
15193,0
15194,0
15195,0
15196,0
15197,0
15198,0
15199,0
15200,0
15201,0
15202,1
15203,0
15204,0
15205,0
15206,0
15207,0
15208,0
15209,0
15210,0
15211,0
15212,0
15213,0
15214,0
15215,0
15216,0
15217,0
15218,0
15219,0
15220,1
15221,0
15222,0
15223,0
15224,0
15225,0
15226,0
15227,1
15228,0
15229,0
15230,0
15231,0
15232,0
15233,1
15234,1
15235,0
15236,1
15237,0
15238,0
15239,0
15240,0
15241,0
15242,0
15243,0
15244,0
15245,0
15246,0
15247,0
15248,1
15249,0
15250,0
15251,0
15252,0
15253,1
15254,1
15255,0
15256,0
15257,0
15258,1
15259,0
15260,1
15261,1
15262,0
15263,1
15264,0
15265,0
15266,0
15267,0
15268,0
15269,1
15270,1
15271,0
15272,1
15273,0
15274,1
15275,1
15276,0
15277,0
15278,0
15279,0
15280,1
15281,0
15282,1
15283,1
15284,0
15285,0
15286,0
15287,0
15288,0
15289,0
15290,0
15291,1
15292,0
15293,0
15294,0
15295,0
15296,0
15297,1
15298,0
15299,0
15300,0
15301,0
15302,0
15303,0
15304,1
15305,1
15306,0
15307,1
15308,0
15309,0
15310,1
15311,0
15312,1
15313,0
15314,1
15315,0
15316,0
15317,0
15318,0
15319,0
15320,1
15321,0
15322,0
15323,0
15324,0
15325,0
15326,0
15327,0
15328,0
15329,0
15330,0
15331,0
15332,0
15333,0
15334,0
15335,0
15336,0
15337,1
15338,0
15339,0
15340,0
15341,0
15342,0
15343,0
15344,1
15345,0
15346,0
15347,0
15348,1
15349,0
15350,1
15351,1
15352,0
15353,0
15354,0
15355,0
15356,1
15357,0
15358,0
15359,0
15360,0
15361,1
15362,0
15363,0
15364,0
15365,1
15366,0
15367,0
15368,0
15369,0
15370,0
15371,0
15372,0
15373,0
15374,0
15375,0
15376,0
15377,0
15378,0
15379,1
15380,1
15381,0
15382,0
15383,1
15384,0
15385,0
15386,0
15387,0
15388,1
15389,0
15390,0
15391,1
15392,0
15393,0
15394,0
15395,0
15396,0
15397,0
15398,1
15399,1
15400,0
15401,0
15402,0
15403,0
15404,0
15405,0
15406,1
15407,0
15408,1
15409,0
15410,0
15411,0
15412,0
15413,0
15414,0
15415,0
15416,1
15417,0
15418,0
15419,0
15420,0
15421,0
15422,1
15423,1
15424,0
15425,1
15426,0
15427,0
15428,0
15429,0
15430,0
15431,0
15432,0
15433,0
15434,0
15435,0
15436,0
15437,0
15438,0
15439,0
15440,0
15441,0
15442,0
15443,0
15444,0
15445,0
15446,0
15447,0
15448,0
15449,0
15450,0
15451,0
15452,0
15453,0
15454,1
15455,0
15456,1
15457,0
15458,1
15459,1
15460,0
15461,0
15462,0
15463,0
15464,0
15465,1
15466,1
15467,0
15468,1
15469,0
15470,0
15471,1
15472,0
15473,0
15474,0
15475,0
15476,0
15477,0
15478,0
15479,0
15480,0
15481,0
15482,0
15483,0
15484,1
15485,0
15486,0
15487,0
15488,1
15489,0
15490,1
15491,0
15492,1
15493,0
15494,0
15495,1
15496,0
15497,0
15498,0
15499,0
15500,0
15501,1
15502,0
15503,1
15504,0
15505,0
15506,1
15507,0
15508,1
15509,0
15510,0
15511,0
15512,0
15513,0
15514,0
15515,0
15516,0
15517,0
15518,0
15519,0
15520,0
15521,0
15522,0
15523,1
15524,1
15525,0
15526,1
15527,0
15528,0
15529,0
15530,0
15531,0
15532,0
15533,0
15534,0
15535,0
15536,0
15537,0
15538,0
15539,0
15540,0
15541,0
15542,0
15543,1
15544,1
15545,0
15546,0
15547,0
15548,0
15549,0
15550,1
15551,1
15552,0
15553,1
15554,0
15555,1
15556,0
15557,0
15558,0
15559,0
15560,1
15561,0
15562,0
15563,0
15564,1
15565,1
15566,0
15567,0
15568,1
15569,0
15570,0
15571,1
15572,1
15573,0
15574,1
15575,0
15576,0
15577,0
15578,0
15579,1
15580,1
15581,0
15582,0
15583,0
15584,0
15585,0
15586,0
15587,0
15588,0
15589,0
15590,0
15591,0
15592,1
15593,0
15594,0
15595,0
15596,1
15597,1
15598,0
15599,0
15600,1
15601,0
15602,1
15603,0
15604,1
15605,0
15606,0
15607,0
15608,0
15609,0
15610,0
15611,0
15612,0
15613,0
15614,0
15615,0
15616,0
15617,0
15618,0
15619,1
15620,0
15621,0
15622,0
15623,1
15624,0
15625,0
15626,0
15627,1
15628,0
15629,0
15630,1
15631,0
15632,1
15633,0
15634,1
15635,0
15636,0
15637,0
15638,1
15639,0
15640,0
15641,0
15642,0
15643,0
15644,0
15645,0
15646,0
15647,1
15648,0
15649,0
15650,0
15651,0
15652,0
15653,0
15654,0
15655,0
15656,0
15657,0
15658,0
15659,1
15660,0
15661,0
15662,0
15663,0
15664,1
15665,1
15666,0
15667,0
15668,1
15669,1
15670,0
15671,0
15672,0
15673,0
15674,0
15675,0
15676,0
15677,0
15678,0
15679,0
15680,0
15681,0
15682,1
15683,0
15684,0
15685,0
15686,0
15687,0
15688,0
15689,0
15690,0
15691,0
15692,0
15693,1
15694,0
15695,0
15696,0
15697,0
15698,0
15699,0
15700,0
15701,0
15702,1
15703,0
15704,1
15705,0
15706,0
15707,1
15708,0
15709,1
15710,0
15711,0
15712,1
15713,0
15714,0
15715,0
15716,0
15717,1
15718,0
15719,0
15720,0
15721,0
15722,0
15723,1
15724,0
15725,0
15726,0
15727,0
15728,1
15729,0
15730,0
15731,0
15732,0
15733,1
15734,1
15735,0
15736,0
15737,0
15738,0
15739,0
15740,1
15741,0
15742,0
15743,0
15744,0
15745,1
15746,1
15747,1
15748,0
15749,0
15750,0
15751,0
15752,0
15753,0
15754,0
15755,1
15756,0
15757,1
15758,1
15759,1
15760,0
15761,0
15762,0
15763,0
15764,0
15765,0
15766,1
15767,0
15768,1
15769,0
15770,1
15771,0
15772,0
15773,0
15774,0
15775,1
15776,0
15777,0
15778,0
15779,1
15780,0
15781,1
15782,1
15783,0
15784,1
15785,0
15786,0
15787,0
15788,0
15789,0
15790,0
15791,1
15792,0
15793,0
15794,0
15795,0
15796,0
15797,0
15798,0
15799,0
15800,0
15801,0
15802,0
15803,1
15804,0
15805,1
15806,0
15807,0
15808,0
15809,0
15810,0
15811,0
15812,1
15813,0
15814,0
15815,0
15816,0
15817,0
15818,0
15819,1
15820,1
15821,0
15822,0
15823,0
15824,0
15825,0
15826,1
15827,0
15828,0
15829,0
15830,0
15831,0
15832,0
15833,0
15834,0
15835,0
15836,0
15837,1
15838,0
15839,1
15840,0
15841,1
15842,0
15843,0
15844,0
15845,0
15846,0
15847,0
15848,0
15849,0
15850,1
15851,0
15852,0
15853,0
15854,0
15855,0
15856,0
15857,1
15858,1
15859,1
15860,1
15861,1
15862,0
15863,1
15864,0
15865,0
15866,1
15867,0
15868,0
15869,0
15870,0
15871,1
15872,1
15873,0
15874,1
15875,0
15876,0
15877,0
15878,1
15879,1
15880,0
15881,0
15882,1
15883,1
15884,0
15885,1
15886,0
15887,0
15888,0
15889,0
15890,1
15891,0
15892,0
15893,0
15894,0
15895,0
15896,1
15897,1
15898,0
15899,0
15900,0
15901,0
15902,0
15903,0
15904,1
15905,0
15906,0
15907,1
15908,0
15909,1
15910,0
15911,0
15912,0
15913,0
15914,0
15915,0
15916,0
15917,0
15918,0
15919,1
15920,0
15921,0
15922,0
15923,1
15924,1
15925,1
15926,0
15927,0
15928,0
15929,0
15930,1
15931,0
15932,0
15933,0
15934,0
15935,0
15936,0
15937,0
15938,0
15939,0
15940,0
15941,0
15942,0
15943,0
15944,0
15945,1
15946,0
15947,0
15948,0
15949,0
15950,0
15951,0
15952,0
15953,1
15954,0
15955,0
15956,0
15957,1
15958,0
15959,1
15960,0
15961,0
15962,0
15963,0
15964,0
15965,0
15966,0
15967,0
15968,0
15969,0
15970,0
15971,0
15972,0
15973,0
15974,0
15975,0
15976,0
15977,0
15978,0
15979,1
15980,0
15981,0
15982,0
15983,0
15984,0
15985,0
15986,0
15987,0
15988,0
15989,0
15990,0
15991,0
15992,1
15993,0
15994,1
15995,0
15996,0
15997,0
15998,1
15999,0
16000,0
16001,0
16002,0
16003,0
16004,0
16005,1
16006,0
16007,0
16008,0
16009,0
16010,0
16011,0
16012,0
16013,0
16014,0
16015,1
16016,0
16017,1
16018,0
16019,0
16020,0
16021,0
16022,0
16023,0
16024,0
16025,0
16026,1
16027,0
16028,0
16029,0
16030,0
16031,0
16032,0
16033,0
16034,0
16035,0
16036,0
16037,0
16038,0
16039,1
16040,0
16041,0
16042,0
16043,0
16044,0
16045,0
16046,0
16047,0
16048,0
16049,0
16050,0
16051,1
16052,0
16053,0
16054,1
16055,0
16056,0
16057,1
16058,0
16059,1
16060,1
16061,1
16062,0
16063,0
16064,0
16065,0
16066,0
16067,0
16068,1
16069,0
16070,0
16071,0
16072,0
16073,1
16074,0
16075,0
16076,0
16077,0
16078,0
16079,0
16080,0
16081,0
16082,0
16083,0
16084,0
16085,1
16086,0
16087,0
16088,0
16089,0
16090,1
16091,0
16092,0
16093,0
16094,0
16095,0
16096,0
16097,0
16098,1
16099,0
16100,0
16101,1
16102,0
16103,0
16104,0
16105,0
16106,0
16107,0
16108,0
16109,1
16110,0
16111,0
16112,0
16113,0
16114,1
16115,0
16116,0
16117,0
16118,0
16119,0
16120,0
16121,1
16122,0
16123,0
16124,0
16125,0
16126,0
16127,0
16128,0
16129,0
16130,0
16131,0
16132,1
16133,0
16134,0
16135,0
16136,0
16137,0
16138,1
16139,0
16140,0
16141,0
16142,0
16143,1
16144,0
16145,1
16146,1
16147,0
16148,0
16149,1
16150,0
16151,0
16152,0
16153,0
16154,0
16155,0
16156,0
16157,0
16158,0
16159,0
16160,0
16161,1
16162,0
16163,0
16164,0
16165,1
16166,0
16167,0
16168,0
16169,1
16170,0
16171,0
16172,1
16173,0
16174,0
16175,0
16176,0
16177,0
16178,1
16179,0
16180,0
16181,0
16182,0
16183,0
16184,0
16185,1
16186,0
16187,1
16188,1
16189,0
16190,0
16191,0
16192,0
16193,0
16194,0
16195,0
16196,0
16197,1
16198,0
16199,0
16200,0
16201,1
16202,0
16203,0
16204,1
16205,0
16206,0
16207,1
16208,0
16209,0
16210,0
16211,1
16212,0
16213,1
16214,1
16215,0
16216,0
16217,1
16218,1
16219,0
16220,0
16221,0
16222,0
16223,1
16224,0
16225,0
16226,1
16227,1
16228,0
16229,1
16230,1
16231,0
16232,0
16233,0
16234,1
16235,0
16236,0
16237,0
16238,1
16239,0
16240,1
16241,1
16242,1
16243,1
16244,0
16245,0
16246,1
16247,0
16248,0
16249,0
16250,1
16251,0
16252,0
16253,1
16254,1
16255,1
16256,0
16257,0
16258,0
16259,0
16260,0
16261,0
16262,0
16263,0
16264,0
16265,0
16266,0
16267,0
16268,0
16269,0
16270,1
16271,0
16272,0
16273,0
16274,1
16275,0
16276,0
16277,1
16278,0
16279,0
16280,0
16281,1
16282,0
16283,0
16284,0
16285,0
16286,0
16287,0
16288,0
16289,0
16290,0
16291,0
16292,0
16293,0
16294,0
16295,0
16296,0
16297,0
16298,1
16299,0
16300,0
16301,0
16302,0
16303,0
16304,0
16305,0
